From Date,To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station,AQI,AQI_Category
01-08-2021 00:00,02-08-2021 00:00,21.85,0.35,10.97,6.65,20.35,5.46,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21.85,Good
02-08-2021 00:00,03-08-2021 00:00,23.57,0.39,11.88,7.2,24.83,7.07,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24.83,Good
03-08-2021 00:00,04-08-2021 00:00,22.4,0.35,11.86,8.41,28.16,6.96,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",28.16,Good
04-08-2021 00:00,05-08-2021 00:00,20.71,0.41,11.49,7.6,20.86,5.09,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20.86,Good
05-08-2021 00:00,06-08-2021 00:00,20.84,0.31,15.08,7.09,26.44,5.91,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26.44,Good
06-08-2021 00:00,07-08-2021 00:00,23.69,0.48,10.38,9.42,36.11,10.4,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",36.11,Good
07-08-2021 00:00,08-08-2021 00:00,24.55,0.42,11.17,12.83,52.88,18.11,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",52.88,Satisfactory
08-08-2021 00:00,09-08-2021 00:00,32.93,0.62,11.97,11.19,32.14,13.75,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",32.93,Good
09-08-2021 00:00,10-08-2021 00:00,32.98,0.5,11.15,10.54,38.3,17.39,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",38.3,Good
10-08-2021 00:00,11-08-2021 00:00,32.3,0.56,13.64,11.22,41.96,18.19,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",41.96,Good
11-08-2021 00:00,12-08-2021 00:00,29.04,0.52,14.89,10.11,32.22,10.06,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",32.22,Good
12-08-2021 00:00,13-08-2021 00:00,24.16,0.53,11.5,10.86,26.23,10.15,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26.5,Good
13-08-2021 00:00,14-08-2021 00:00,25.51,0.45,12.16,9.02,23.6,10.03,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",25.51,Good
14-08-2021 00:00,15-08-2021 00:00,26.29,0.49,9.83,8.87,22.07,10.08,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26.29,Good
15-08-2021 00:00,16-08-2021 00:00,25.22,0.5,9.91,9.88,24.43,8.53,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",25.22,Good
16-08-2021 00:00,17-08-2021 00:00,22.1,0.53,17.39,9.98,13.07,6.23,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26.5,Good
17-08-2021 00:00,18-08-2021 00:00,22.32,0.38,14.75,7.87,15.76,7.12,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",22.32,Good
18-08-2021 00:00,19-08-2021 00:00,23.75,0.46,10.72,8.71,22.16,11.45,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23.75,Good
19-08-2021 00:00,20-08-2021 00:00,23.76,0.43,11.32,8.32,24.4,9.08,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24.4,Good
20-08-2021 00:00,21-08-2021 00:00,17.71,0.53,9.5,11.82,38.91,14.13,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",38.91,Good
21-08-2021 00:00,22-08-2021 00:00,18.24,0.52,10.07,8.38,26.28,11.73,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26.28,Good
22-08-2021 00:00,23-08-2021 00:00,27.75,0.49,9.39,8.42,32.76,16.07,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",32.76,Good
23-08-2021 00:00,24-08-2021 00:00,33.87,0.54,14.18,8.6,39.57,22.37,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",39.57,Good
24-08-2021 00:00,25-08-2021 00:00,36.8,0.57,17.14,9.55,50.53,32.04,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",53.4,Satisfactory
25-08-2021 00:00,26-08-2021 00:00,39.31,0.53,12.54,9.31,39.37,21.77,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",39.37,Good
26-08-2021 00:00,27-08-2021 00:00,31.69,0.44,11.28,9.83,12.83,5.32,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",31.69,Good
27-08-2021 00:00,28-08-2021 00:00,26.85,0.44,9.76,7.94,15.72,5.21,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26.85,Good
28-08-2021 00:00,29-08-2021 00:00,13.94,0.48,12.77,14.79,17.63,5.08,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24.0,Good
29-08-2021 00:00,30-08-2021 00:00,24.08,0.48,9.88,9.64,19.6,9.31,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24.08,Good
30-08-2021 00:00,31-08-2021 00:00,25.95,0.49,9.48,7.31,21.68,11.15,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",25.95,Good
31-08-2021 00:00,01-09-2021 00:00,21.53,0.56,11.96,9.62,33.84,15.21,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",33.84,Good
01-09-2021 00:00,02-09-2021 00:00,20.84,0.58,11.94,13.06,31.89,15.15,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",31.89,Good
02-09-2021 00:00,03-09-2021 00:00,26.81,0.54,13.07,13.92,44.09,18.31,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",44.09,Good
03-09-2021 00:00,04-09-2021 00:00,29.87,0.43,12.7,8.64,20.76,9.0,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29.87,Good
04-09-2021 00:00,05-09-2021 00:00,24.32,0.44,10.28,8.55,16.4,6.61,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24.32,Good
05-09-2021 00:00,06-09-2021 00:00,27.82,0.39,12.93,9.41,13.27,4.78,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",27.82,Good
06-09-2021 00:00,07-09-2021 00:00,18.16,0.52,14.31,9.22,10.09,4.36,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26.0,Good
07-09-2021 00:00,08-09-2021 00:00,21.35,0.47,16.06,7.72,13.62,5.04,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23.5,Good
08-09-2021 00:00,09-09-2021 00:00,24.03,0.52,9.81,10.22,23.22,7.88,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26.0,Good
09-09-2021 00:00,10-09-2021 00:00,22.26,0.44,8.97,7.76,20.64,4.55,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",22.26,Good
10-09-2021 00:00,11-09-2021 00:00,18.65,0.49,10.07,8.97,31.96,8.48,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",31.96,Good
